Epoch,Train Loss,Val Loss,Train MAE,Val MAE
1,0.28009995390594256,0.13565813452631487,0.4511623442927493,0.33499468850488423
2,0.15530550624499342,0.042441055976918766,0.31742714559227103,0.170252998836902
3,0.10996129939073249,0.030543999409913515,0.2641260591237354,0.14504658577948057
4,0.08536277895298185,0.012848866195613597,0.23133131635339954,0.09113178630711652
5,0.07605579354749199,0.02425317284690232,0.21752173815095474,0.12816814386418887
6,0.07086248108763483,0.00947244041462374,0.21086916896487087,0.07730682793722934
7,0.06197023654222991,0.007753049529220189,0.19802461256457785,0.06940805516010072
8,0.05694940056698986,0.006929638211521469,0.1900442527442039,0.06701704313462022
9,0.051475330047655206,0.006759320930656077,0.18071022230487332,0.06493166627503243
10,0.04835597354965874,0.008449353002786575,0.17583838913133878,0.07345638691815508
